id,prompt,A,B,C,D,E,answer
155,What is the principle of reciprocity in linear systems?,The response measured at location a when an excitation signal is applied at location b is equal to the response measured at location b when the same excitation is applied at location a,The response measured at location a when an excitation signal is applied at location b is not equal to the response measured at location b when the same excitation is applied at location a,The response measured at location b when an excitation signal is applied at location a is equal to the response measured at location a when the same excitation is applied at location b,The response measured at location b when an excitation signal is applied at location a is not equal to the response measured at location a when the same excitation is applied at location b,The response measured at location a when an excitation signal is applied at location b is sometimes equal to the response measured at location b when the same excitation is applied at location a,A
156,What is the primary motivation for pure mathematicians?,Practical applications,Intellectual challenge and aesthetic beauty,Real-world concerns,Logical consequences,Counter-intuitive properties,B
157,What is the purpose of good engineering practice (GEP)?,To ensure that products are manufactured according to regulatory requirements,To improve engineering and technical activities in a company,To establish best practices in the engineering industry,To promote collaboration between regulatory authorities and companies,To standardize engineering practices across different industries,A
158,What is the Risch algorithm used for?,Factoring polynomials,Solving differential equations,Finding antiderivatives,Simplifying radicals,Computing logarithms,C
159,Where is the Bali Botanic Garden located?,"Bedugul, Tabanan Regency","Denpasar, Bali",Ulun Danu Temple,Tapak Hill,Indonesian Institute of Sciences,A
160,Which publishing company is responsible for the publication of Discrete Mathematics?,North-Holland Publishing Company,University of Illinois,Douglas West,Paul Erdős,László Lovász,A
161,What is the main objective of Varda Space Industries?,To build a space station for tourism,To explore distant planets,To manufacture fine goods using microgravity,To develop advanced propulsion systems,To conduct research on black holes,C
162,"What is the etymology of the word ""technology""?",Systematic treatment,Knowledge economy,Technological advancements,Stone tool,Control of fire,A
163,What is a Malcev Lie algebra?,A generalization of a rational nilpotent Lie algebra,A type of Lie algebra that is not rational,A Lie algebra that cannot be filtered,A Lie algebra with no associated graded Lie algebra,A Lie algebra that is not nilpotent,A
164,What is the purpose of the manufacturing readiness level (MRL) measure?,To assess the maturity of technology readiness,To assess the maturity of manufacturing readiness,To assess the capabilities of possible suppliers,To assess the acquisition outcomes,"To assess the relative risks associated with manufacturing technologies, products, and processes",B
165,What is the purpose of the rails in a railway or railroad?,To support and guide the wheels of the vehicles,To provide a smooth surface for the vehicles to travel on,To prevent the vehicles from slipping sideways,To connect different destinations,To control the speed of the vehicles,A
166,What is the difference between procedural knowledge and descriptive knowledge?,"Procedural knowledge is knowledge of specific facts or propositions, while descriptive knowledge involves one's ability to do something.","Procedural knowledge involves one's ability to do something, while descriptive knowledge is knowledge of specific facts or propositions.","Procedural knowledge can be directly applied to a task, while descriptive knowledge requires action.","Procedural knowledge is difficult to transfer to another person, while descriptive knowledge is easily communicated.","Procedural knowledge is formed by doing, while descriptive knowledge is learned through observation.",B
